id,level,title,description,link
52,N4,がする,"To give off, Smell, Sound, Taste, Sensation",https://bunpro.jp/grammar_points/%E3%81%8C%E3%81%99%E3%82%8B
53,N4,たがる,To want to (Third person),https://bunpro.jp/grammar_points/%E3%81%9F%E3%81%8C%E3%82%8B
54,N4,かもしれない,"Might, Maybe, Probably",https://bunpro.jp/grammar_points/%E3%81%8B%E3%82%82%E3%81%97%E3%82%8C%E3%81%AA%E3%81%84
55,N4,みたいに・みたいな,"Like, Similar to, Resembling",https://bunpro.jp/grammar_points/%E3%81%BF%E3%81%9F%E3%81%84%E3%81%AB-%E3%81%BF%E3%81%9F%E3%81%84%E3%81%AA
56,N4,そうに・そうな,"Seem, Look like, Sound",https://bunpro.jp/grammar_points/%E3%81%9D%E3%81%86%E3%81%AB-%E3%81%9D%E3%81%86%E3%81%AA
57,N4,のように・のような,"Like (Noun), Similar to (Noun)",https://bunpro.jp/grammar_points/%E3%81%AE%E3%82%88%E3%81%86%E3%81%AB-%E3%81%AE%E3%82%88%E3%81%86%E3%81%AA
58,N4,〜ようと思う・〜おうと思う,"I think I will, I think I shall, Going to, Gonna (Volitional + と思う)",https://bunpro.jp/grammar_points/%E3%82%88%E3%81%86%E3%81%A8%E6%80%9D%E3%81%86-%E3%81%8A%E3%81%86%E3%81%A8%E6%80%9D%E3%81%86
59,N4,～にする・～くする,"Adjective + する, To make something/someone (more)",https://bunpro.jp/grammar_points/%E3%81%AB%E3%81%99%E3%82%8B-%E3%81%8F%E3%81%99%E3%82%8B
60,N4,といい,"I hope, I wish, You should, It would be good",https://bunpro.jp/grammar_points/%E3%81%A8%E3%81%84%E3%81%84
61,N4,ようになる,"To reach the point that, To come to be that, To turn into",https://bunpro.jp/grammar_points/%E3%82%88%E3%81%86%E3%81%AB%E3%81%AA%E3%82%8B
62,N4,まい～のように,"Almost every ~, Nearly every ~, On a ~ basis",https://bunpro.jp/grammar_points/%E3%81%BE%E3%81%84-%E3%81%AE%E3%82%88%E3%81%86%E3%81%AB
63,N4,じゃないか,"Isn't it?, Is it not?",https://bunpro.jp/grammar_points/%E3%81%98%E3%82%83%E3%81%AA%E3%81%84%E3%81%8B
64,N4,らしい ①,"Seems like, Apparently, I heard",https://bunpro.jp/grammar_points/%E3%82%89%E3%81%97%E3%81%841
65,N4,ておく,To do something in advance,https://bunpro.jp/grammar_points/%E3%81%A6%E3%81%8A%E3%81%8F
66,N4,がほしい,"To want something, To be in need of",https://bunpro.jp/grammar_points/%E3%81%8C%E3%81%BB%E3%81%97%E3%81%84
67,N4,てほしい,I want you to,https://bunpro.jp/grammar_points/%E3%81%A6%E3%81%BB%E3%81%97%E3%81%84
68,N4,ときいた,I heard that,https://bunpro.jp/grammar_points/%E3%81%A8%E3%81%8D%E3%81%84%E3%81%9F
69,N4,聞こえる,"To be audible, To sound (like), (Can) hear, To be heard",https://bunpro.jp/grammar_points/%E8%81%9E%E3%81%93%E3%81%88%E3%82%8B
70,N4,見える,"To be visible, To seem, To be in sight",https://bunpro.jp/grammar_points/%E8%A6%8B%E3%81%88%E3%82%8B
71,N4,だす,"To suddenly begin, To start doing",https://bunpro.jp/grammar_points/%E3%81%A0%E3%81%99
72,N4,～代,"Teens, Twenties, Thirties, 1910s, 20s/30s",https://bunpro.jp/grammar_points/%E4%BB%A3
73,N4,Number + も,"Emphasis, As ~ as, Not even",https://bunpro.jp/grammar_points/number-%E3%82%82
74,N4,ほとんど,"Almost all, Most, Hardly any, Few (Adverbial noun)",https://bunpro.jp/grammar_points/%E3%81%BB%E3%81%A8%E3%82%93%E3%81%A9
75,N4,そんな・こんな・あんな・どんな,"Such a・Kind of, Something like ~",https://bunpro.jp/grammar_points/%E3%81%9D%E3%82%93%E3%81%AA-%E3%81%93%E3%82%93%E3%81%AA-%E3%81%82%E3%82%93%E3%81%AA-%E3%81%A9%E3%82%93%E3%81%AA
76,N4,各,"Each, Every, Respective, Various",https://bunpro.jp/grammar_points/%E5%90%84
77,N4,以上 ①,"More than (or equal to), Over・(and) above, Any more・Greater, Exceeding",https://bunpro.jp/grammar_points/%E4%BB%A5%E4%B8%8A1
78,N4,いか,"Less than (or equal to), Under・(and) below, Any less・fewer, Not exceeding",https://bunpro.jp/grammar_points/%E3%81%84%E3%81%8B
79,N4,いがい,"Except・besides, Other than, With the exception of",https://bunpro.jp/grammar_points/%E3%81%84%E3%81%8C%E3%81%84
80,N4,ずっと ①,"Continuously, All throughout, Entire time, Ever (since), The whole time, All the way",https://bunpro.jp/grammar_points/%E3%81%9A%E3%81%A3%E3%81%A81
81,N4,だいたい,"Most・mostly, Adequately・generally, For the most part, Roughly・approximately, In the first place",https://bunpro.jp/grammar_points/%E3%81%A0%E3%81%84%E3%81%9F%E3%81%84
82,N4,のなかで,"In, Among, Within",https://bunpro.jp/grammar_points/%E3%81%AE%E3%81%AA%E3%81%8B%E3%81%A7
83,N4,ように・ような,"As・like, Just like",https://bunpro.jp/grammar_points/%E3%82%88%E3%81%86%E3%81%AB-%E3%82%88%E3%81%86%E3%81%AA
84,N4,Number/Amount + は,"At least, Sort of, Or so",https://bunpro.jp/grammar_points/number-amount-%E3%81%AF
85,N4,なん + counter + か,"Some, Several, A few",https://bunpro.jp/grammar_points/%E3%81%AA%E3%82%93-counter-%E3%81%8B
86,N4,真(っ),"Completely, Exactly, Right",https://bunpro.jp/grammar_points/%E7%9C%9F(%E3%81%A3)
87,N4,Number + しか〜ない,"No more than, Not exceeding, As few as・as little as, Only",https://bunpro.jp/grammar_points/number-%E3%81%97%E3%81%8B-%E3%81%AA%E3%81%84
88,N4,～は～の一つだ,〜 is one of (many) 〜,https://bunpro.jp/grammar_points/%E3%81%AF-%E3%81%AE%E4%B8%80%E3%81%A4%E3%81%A0
